YEAR,Vernal Equinox,Vernal Time ,Summer Solstice,Summer Time,Autumnal Equinox,Autumnal Time,Winter Date,Winter Time,Perihelion Date,Perihelion Time,Aphelion Date,Aphelion Time
2000,3/20,7:30,6/21,1:44,9/22,17:16,12/21,13:27,01/03,23:21,07/04,14:15
2001,3/20,13:19,6/21,7:32,9/22,23:05,12/21,19:16,01/03,5:35,07/04,20:29
2002,3/20,19:08,6/21,13:20,9/23,4:54,12/22,1:06,01/03,11:49,07/05,2:43
2003,3/21,0:58,6/21,19:08,9/23,10:42,12/22,6:56,01/03,18:03,07/05,8:57
2004,3/20,6:47,6/21,0:56,9/22,16:31,12/21,12:46,01/04,0:17,07/04,15:11
2005,3/20,12:36,6/21,6:44,9/22,22:20,12/21,18:35,01/03,6:31,07/04,21:25
2006,3/20,18:25,6/21,12:32,9/23,4:08,12/22,0:25,01/03,12:45,07/05,3:39
2007,3/21,0:14,6/21,18:21,9/23,9:57,12/22,6:15,01/03,18:59,07/05,9:53
2008,3/20,6:04,6/21,0:09,9/22,15:46,12/21,12:04,01/04,1:13,07/04,16:07
2009,3/20,11:53,6/21,5:57,9/22,21:34,12/21,17:54,01/03,7:27,07/04,22:21
2010,3/20,17:42,6/21,11:45,9/23,3:23,12/21,23:44,01/03,13:40,07/05,4:35
2011,3/20,23:31,6/21,17:33,9/23,9:12,12/22,5:34,01/03,19:54,07/05,10:49
2012,3/20,5:20,6/20,23:21,9/22,15:01,12/21,11:23,01/04,2:08,07/04,17:03
2013,3/20,11:10,6/21,5:09,9/22,20:49,12/21,17:13,01/03,8:22,07/04,23:17
2014,3/20,16:59,6/21,10:57,9/23,2:38,12/21,23:03,01/03,14:36,07/05,5:31
2015,3/20,22:48,6/21,16:46,9/23,8:27,12/22,4:53,01/03,20:50,07/05,11:45
2016,3/20,4:37,6/20,22:34,9/22,14:15,12/21,10:42,01/04,3:04,07/04,17:59
2017,3/20,10:26,6/21,4:22,9/22,20:04,12/21,16:32,01/03,9:18,07/05,0:13
2018,3/20,16:16,6/21,10:10,9/23,1:53,12/21,22:22,01/03,15:32,07/05,6:27
2019,3/20,22:05,6/21,15:58,9/23,7:41,12/22,4:11,01/03,21:46,07/05,12:41
2020,3/20,3:54,6/20,21:46,9/22,13:30,12/21,10:01,01/04,4:00,07/04,18:55
