Event,Time,Region,Standard Deviation,Min,Max,Mean
Aphelion,2002-07-05 09:00:00,California Coast,1.8948418,281.48898,296.013,289.87314
Aphelion,2003-07-05 09:00:00,California Coast,2.162131,280.503,300.82898,290.76184
Aphelion,2004-07-04 09:00:00,California Coast,2.8079715,281.0,303.52798,291.2911
Aphelion,2005-07-04 09:00:00,California Coast,3.0092764,282.479,303.361,291.35596
Aphelion,2006-07-05 09:00:00,California Coast,3.2450247,282.824,305.123,291.44125
Aphelion,2007-07-05 09:00:00,California Coast,2.8471904,282.738,307.354,291.66476
Aphelion,2008-07-04 09:00:00,California Coast,3.025566,284.612,306.447,291.32214
Aphelion,2009-07-04 09:00:00,California Coast,3.064773,283.67398,305.277,291.39175
Aphelion,2010-07-05 09:00:00,California Coast,3.0032415,281.58798,306.24298,289.92654
Aphelion,2011-07-05 09:00:00,California Coast,3.1384907,282.53998,305.712,290.5864
Aphelion,2012-07-04 09:00:00,California Coast,3.0533843,282.80798,307.613,290.72784
Aphelion,2013-07-04 09:00:00,California Coast,2.892981,283.94598,305.443,292.1741
Aphelion,2014-07-05 09:00:00,California Coast,3.2713172,283.991,306.472,292.11005
Aphelion,2015-07-05 09:00:00,California Coast,3.020453,286.106,307.432,293.10825
Aphelion,2016-07-04 09:00:00,California Coast,3.1590037,281.05798,307.096,292.06052
Aphelion,2017-07-05 09:00:00,California Coast,2.925877,282.806,306.464,291.77216
Aphelion,2018-07-05 09:00:00,California Coast,3.1036208,281.879,306.715,291.73346
Aphelion,2019-07-05 09:00:00,California Coast,2.7882311,282.724,303.995,291.55945
Aphelion,2020-07-04 09:00:00,California Coast,2.9710922,282.443,306.604,291.91248
