Event,Time,Region,Standard Deviation,Min,Max,Mean
Autumnal Equinox,2002-09-23 09:00:00,California Coast,2.7337275,279.306,304.306,292.4781
Autumnal Equinox,2003-09-23 09:00:00,California Coast,2.7275622,280.664,303.413,292.87292
Autumnal Equinox,2004-09-22 09:00:00,California Coast,2.8496854,284.02698,304.003,293.56982
Autumnal Equinox,2005-09-22 09:00:00,California Coast,3.162838,281.761,304.455,292.64136
Autumnal Equinox,2006-09-23 09:00:00,California Coast,3.3419669,281.722,303.74,292.51846
Autumnal Equinox,2007-09-23 09:00:00,California Coast,3.075631,282.457,304.45898,292.86157
Autumnal Equinox,2008-09-22 09:00:00,California Coast,3.2445128,284.831,304.725,292.64084
Autumnal Equinox,2009-09-22 09:00:00,California Coast,3.0973988,286.082,305.434,293.812
Autumnal Equinox,2010-09-23 09:00:00,California Coast,2.917799,284.52,305.4,292.01532
Autumnal Equinox,2011-09-23 09:00:00,California Coast,3.0753562,283.978,306.754,292.7259
Autumnal Equinox,2012-09-22 09:00:00,California Coast,3.5981953,283.449,305.251,292.67435
Autumnal Equinox,2013-09-22 09:00:00,California Coast,2.8128598,284.408,306.366,293.78473
Autumnal Equinox,2014-09-23 09:00:00,California Coast,2.855421,286.369,305.151,294.92267
Autumnal Equinox,2015-09-23 09:00:00,California Coast,3.0890856,282.763,305.021,294.88043
Autumnal Equinox,2016-09-22 09:00:00,California Coast,2.9813302,282.552,304.05798,292.74823
Autumnal Equinox,2017-09-22 09:00:00,California Coast,2.7946203,282.895,304.836,293.45633
Autumnal Equinox,2018-09-23 09:00:00,California Coast,3.3158598,281.406,305.638,293.1195
Autumnal Equinox,2019-09-23 09:00:00,California Coast,2.630113,283.95398,304.745,294.4877
Autumnal Equinox,2020-09-22 09:00:00,California Coast,2.8430715,287.74298,306.109,294.41537
