Event,Time,Region,Standard Deviation,Min,Max,Mean
Perihelion,2003-01-03 09:00:00,California Coast,2.4476779,279.942,294.477,288.94608
Perihelion,2004-01-04 09:00:00,California Coast,2.4634564,278.951,293.879,289.06656
Perihelion,2005-01-03 09:00:00,California Coast,2.5030773,280.067,294.628,288.57986
Perihelion,2006-01-03 09:00:00,California Coast,2.420314,280.84,293.742,289.3802
Perihelion,2007-01-03 09:00:00,California Coast,2.45339,280.88,295.55798,289.04596
Perihelion,2008-01-04 09:00:00,California Coast,2.5937264,272.193,292.783,287.96194
Perihelion,2009-01-03 09:00:00,California Coast,2.3892753,279.673,294.425,288.41116
Perihelion,2010-01-03 09:00:00,California Coast,2.4533784,281.175,295.242,289.30927
Perihelion,2011-01-03 09:00:00,California Coast,2.351928,279.904,293.62698,288.43634
Perihelion,2012-01-04 09:00:00,California Coast,2.2501562,273.546,292.916,288.64096
Perihelion,2013-01-03 09:00:00,California Coast,2.3327258,281.49,294.28598,289.14026
Perihelion,2014-01-03 09:00:00,California Coast,2.4488466,271.871,293.955,289.1238
Perihelion,2015-01-03 09:00:00,California Coast,2.350714,272.034,294.93,290.55325
Perihelion,2016-01-04 09:00:00,California Coast,2.476287,279.559,296.529,289.78223
Perihelion,2017-01-03 09:00:00,California Coast,2.4212518,281.037,294.375,289.09982
Perihelion,2018-01-03 09:00:00,California Coast,2.4326046,274.154,295.16098,290.12415
Perihelion,2019-01-03 09:00:00,California Coast,2.2593052,272.794,295.15298,289.5527
Perihelion,2020-01-04 09:00:00,California Coast,2.465424,282.30298,294.348,289.36975
