,Event,Region,Standard Deviation,Min,Max,Mode/Highest Occurance,Mean/Average
0,Summer Solstice,California Coast,1.9084657,284.595,295.541,"0    290.987
Name: analysed_sst, dtype: float32",289.33878
1,Summer Solstice,California Coast,1.8627439,279.67398,293.561,"0    289.178986
Name: analysed_sst, dtype: float32",289.79718
2,Summer Solstice,California Coast,2.7249582,282.041,304.222,"0    292.681
Name: analysed_sst, dtype: float32",290.91882
3,Summer Solstice,California Coast,2.4880354,285.237,301.727,"0    291.434998
Name: analysed_sst, dtype: float32",291.2654
4,Summer Solstice,California Coast,3.0603368,282.253,304.84198,"0    290.347992
Name: analysed_sst, dtype: float32",291.0565
5,Summer Solstice,California Coast,2.8816195,283.692,306.21698,"0    290.662994
Name: analysed_sst, dtype: float32",290.60498
6,Summer Solstice,California Coast,3.285657,282.572,305.182,"0    292.606995
Name: analysed_sst, dtype: float32",290.75555
7,Summer Solstice,California Coast,2.7906673,282.702,303.367,"0    292.720001
Name: analysed_sst, dtype: float32",291.1268
8,Summer Solstice,California Coast,3.1841028,281.822,303.723,"0    292.03598
Name: analysed_sst, dtype: float32",289.8492
9,Summer Solstice,California Coast,2.954609,282.298,303.26498,"0    290.830994
Name: analysed_sst, dtype: float32",289.69812
10,Summer Solstice,California Coast,3.192278,280.547,304.768,"0    290.135986
Name: analysed_sst, dtype: float32",290.24963
11,Summer Solstice,California Coast,2.9758315,282.774,303.416,"0    291.269989
Name: analysed_sst, dtype: float32",290.4453
12,Summer Solstice,California Coast,3.2691512,281.346,304.873,"0    292.604004
Name: analysed_sst, dtype: float32",291.33484
13,Summer Solstice,California Coast,2.971457,284.04498,304.1,"0    291.421997
Name: analysed_sst, dtype: float32",291.91412
14,Summer Solstice,California Coast,2.716942,283.758,304.578,"0    292.510986
Name: analysed_sst, dtype: float32",291.69482
15,Summer Solstice,California Coast,2.8823583,281.69998,304.4,"0    292.394989
Name: analysed_sst, dtype: float32",291.0845
16,Summer Solstice,California Coast,2.8156996,283.465,305.632,"0    288.246979
Name: analysed_sst, dtype: float32",290.7766
17,Summer Solstice,California Coast,2.9505577,281.16498,302.925,"0    292.286987
Name: analysed_sst, dtype: float32",290.79852
18,Summer Solstice,California Coast,2.786991,283.529,303.505,"0    292.462982
Name: analysed_sst, dtype: float32",291.2763
