Event,Time,Region,Standard Deviation,Min,Max,Mean
Summer Solstice,2002-06-21 09:00:00,California Coast,1.9084657,284.595,295.541,289.33878
Summer Solstice,2003-06-21 09:00:00,California Coast,1.8627439,279.67398,293.561,289.79718
Summer Solstice,2004-06-21 09:00:00,California Coast,2.7249582,282.041,304.222,290.91882
Summer Solstice,2005-06-21 09:00:00,California Coast,2.4880354,285.237,301.727,291.2654
Summer Solstice,2006-06-21 09:00:00,California Coast,3.0603368,282.253,304.84198,291.0565
Summer Solstice,2007-06-21 09:00:00,California Coast,2.8816195,283.692,306.21698,290.60498
Summer Solstice,2008-06-21 09:00:00,California Coast,3.285657,282.572,305.182,290.75555
Summer Solstice,2009-06-21 09:00:00,California Coast,2.7906673,282.702,303.367,291.1268
Summer Solstice,2010-06-21 09:00:00,California Coast,3.1841028,281.822,303.723,289.8492
Summer Solstice,2011-06-21 09:00:00,California Coast,2.954609,282.298,303.26498,289.69812
Summer Solstice,2012-06-20 09:00:00,California Coast,3.192278,280.547,304.768,290.24963
Summer Solstice,2013-06-21 09:00:00,California Coast,2.9758315,282.774,303.416,290.4453
Summer Solstice,2014-06-21 09:00:00,California Coast,3.2691512,281.346,304.873,291.33484
Summer Solstice,2015-06-21 09:00:00,California Coast,2.971457,284.04498,304.1,291.91412
Summer Solstice,2016-06-20 09:00:00,California Coast,2.716942,283.758,304.578,291.69482
Summer Solstice,2017-06-21 09:00:00,California Coast,2.8823583,281.69998,304.4,291.0845
Summer Solstice,2018-06-21 09:00:00,California Coast,2.8156996,283.465,305.632,290.7766
Summer Solstice,2019-06-21 09:00:00,California Coast,2.9505577,281.16498,302.925,290.79852
Summer Solstice,2020-06-20 09:00:00,California Coast,2.786991,283.529,303.505,291.2763
