,Event,Region,Standard Deviation,Min,Max,Mode/Highest Occurance,Mean/Average
0,Vernal Equinox,California Coast,1.9886639,280.585,292.625,"0    288.783997
Name: analysed_sst, dtype: float32",288.4006
1,Vernal Equinox,California Coast,2.2088058,282.86798,294.96298,"0    290.143982
Name: analysed_sst, dtype: float32",288.60858
2,Vernal Equinox,California Coast,2.3152559,283.362,294.029,"0    290.234985
Name: analysed_sst, dtype: float32",289.0596
3,Vernal Equinox,California Coast,2.4441042,281.298,292.538,"0    288.895996
Name: analysed_sst, dtype: float32",287.73398
4,Vernal Equinox,California Coast,2.269686,282.16,295.53598,"0    288.759003
Name: analysed_sst, dtype: float32",288.0422
5,Vernal Equinox,California Coast,2.3708405,281.822,292.205,"0    289.347992
Name: analysed_sst, dtype: float32",287.41766
6,Vernal Equinox,California Coast,2.4117794,281.794,294.742,"0    289.796997
Name: analysed_sst, dtype: float32",287.82532
7,Vernal Equinox,California Coast,2.2447457,278.771,294.443,"0    286.559998
Name: analysed_sst, dtype: float32",288.5133
8,Vernal Equinox,California Coast,2.4766996,282.031,294.009,"0    289.817993
Name: analysed_sst, dtype: float32",287.7368
9,Vernal Equinox,California Coast,2.4539282,279.31198,292.202,"0    289.117004
Name: analysed_sst, dtype: float32",287.4068
10,Vernal Equinox,California Coast,2.5562572,281.412,293.998,"0    290.686005
Name: analysed_sst, dtype: float32",287.9018
11,Vernal Equinox,California Coast,2.4023817,280.923,294.848,"0    286.703003
Name: analysed_sst, dtype: float32",289.01224
12,Vernal Equinox,California Coast,2.3044906,283.624,296.33398,"0    292.036987
1    292.045990
Name: analysed_sst, dtype: float32",290.45233
13,Vernal Equinox,California Coast,2.2798123,283.212,296.081,"0    291.467987
Name: analysed_sst, dtype: float32",289.58466
14,Vernal Equinox,California Coast,2.5706174,282.52698,296.53198,"0    290.938995
Name: analysed_sst, dtype: float32",289.24078
15,Vernal Equinox,California Coast,2.5283632,278.637,293.695,"0    291.390991
Name: analysed_sst, dtype: float32",288.68307
16,Vernal Equinox,California Coast,2.4989283,283.387,294.166,"0    291.208984
Name: analysed_sst, dtype: float32",288.57535
17,Vernal Equinox,California Coast,2.3110967,279.164,293.672,"0    290.178986
Name: analysed_sst, dtype: float32",288.01797
