Event,Time,Region,Standard Deviation,Min,Max,Mean
Vernal Equinox,2003-03-21 09:00:00,California Coast,1.9886639,280.585,292.625,288.4006
Vernal Equinox,2004-03-20 09:00:00,California Coast,2.2088058,282.86798,294.96298,288.60858
Vernal Equinox,2005-03-20 09:00:00,California Coast,2.3152559,283.362,294.029,289.0596
Vernal Equinox,2006-03-20 09:00:00,California Coast,2.4441042,281.298,292.538,287.73398
Vernal Equinox,2007-03-21 09:00:00,California Coast,2.269686,282.16,295.53598,288.0422
Vernal Equinox,2008-03-20 09:00:00,California Coast,2.3708405,281.822,292.205,287.41766
Vernal Equinox,2009-03-20 09:00:00,California Coast,2.4117794,281.794,294.742,287.82532
Vernal Equinox,2010-03-20 09:00:00,California Coast,2.2447457,278.771,294.443,288.5133
Vernal Equinox,2011-03-20 09:00:00,California Coast,2.4766996,282.031,294.009,287.7368
Vernal Equinox,2012-03-20 09:00:00,California Coast,2.4539282,279.31198,292.202,287.4068
Vernal Equinox,2013-03-20 09:00:00,California Coast,2.5562572,281.412,293.998,287.9018
Vernal Equinox,2014-03-20 09:00:00,California Coast,2.4023817,280.923,294.848,289.01224
Vernal Equinox,2015-03-20 09:00:00,California Coast,2.3044906,283.624,296.33398,290.45233
Vernal Equinox,2016-03-20 09:00:00,California Coast,2.2798123,283.212,296.081,289.58466
Vernal Equinox,2017-03-20 09:00:00,California Coast,2.5706174,282.52698,296.53198,289.24078
Vernal Equinox,2018-03-20 09:00:00,California Coast,2.5283632,278.637,293.695,288.68307
Vernal Equinox,2019-03-20 09:00:00,California Coast,2.4989283,283.387,294.166,288.57535
Vernal Equinox,2020-03-20 09:00:00,California Coast,2.3110967,279.164,293.672,288.01797
